TCNumber;origin;destination;type;outboundDate;inboundDate;outbound;inbound;flightCarrierOutbound;flightCarrierInbound;flightNumberOutbound;flightNumberInbound;adult;child;infant;junior
#TC#18;POS;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);EF;EF;$none;$none;$none;$none;1;0;1;0
#TC#19;SLU;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);BF;BF;$none;$none;$none;$none;1;0;1;0
#TC#20;SLU;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);BF;BF;$none;$none;$none;$none;1;0;1;0
#TC#21;POS;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);EC;EC;$none;$none;$none;$none;$RNDINT(2,4);0;$RNDINT(2,#adult#);0
#TC#22;POS;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);EC;EC;$none;$none;$none;$none;$RNDINT(2,4);0;$RNDINT(2,#adult#);0
#TC#23;SLU;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);ER;ER;$none;$none;$none;$none;$RNDINT(2,4);0;$RNDINT(2,#adult#);0
#TC#24;SLU;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);ER;ER;$none;$none;$none;$none;$RNDINT(2,4);0;$RNDINT(2,#adult#);0
#TC#25;POS;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);BR;BR;$none;$none;$none;$none;1;0;0;1
#TC#26;POS;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);BR;BR;$none;$none;$none;$none;1;0;0;1
#TC#27;SLU;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);EF;EF;$none;$none;$none;$none;1;0;0;1
#TC#28;SLU;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);EF;EF;$none;$none;$none;$none;1;0;0;1
#TC#29;POS;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);BF;BF;$none;$none;$none;$none;$RNDINT(2,4);0;0;$RNDINT(2,3)
#TC#30;POS;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);BF;BF;$none;$none;$none;$none;$RNDINT(2,4);0;0;$RNDINT(2,3)
#TC#31;SLU;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);EC;EC;$none;$none;$none;$none;$RNDINT(2,4);0;0;$RNDINT(2,3)
#TC#32;SLU;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);EC;EC;$none;$none;$none;$none;$RNDINT(2,4);0;0;$RNDINT(2,3)
#TC#33;POS;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);ER;ER;$none;$none;$none;$none;1;1;1;1
#TC#34;POS;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);ER;ER;$none;$none;$none;$none;1;1;1;1
#TC#35;SLU;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);BR;BR;$none;$none;$none;$none;1;1;1;1
#TC#36;SLU;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);BR;BR;$none;$none;$none;$none;1;1;1;1
#TC#37;POS;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);EF;EF;$none;$none;$none;$none;$RNDINT(2,3);$RNDINT(2,3);$RNDINT(2,#adult#);$RNDINT(2,3)
#TC#38;POS;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);EF;EF;$none;$none;$none;$none;$RNDINT(2,3);$RNDINT(2,3);$RNDINT(2,#adult#);$RNDINT(2,3)
#TC#39;SLU;JFK;OW;$RNDDATE(15,20);$RNDDATE(25,30);BF;BF;$none;$none;$none;$none;$RNDINT(2,3);$RNDINT(2,3);$RNDINT(2,#adult#);$RNDINT(2,3)
#TC#40;SLU;JFK;RT;$RNDDATE(15,20);$RNDDATE(25,30);BF;BF;$none;$none;$none;$none;$RNDINT(2,3);$RNDINT(2,3);$RNDINT(2,#adult#);$RNDINT(2,3)
